TotalSubs,ActiveBroker,ConnPct,DelPct,P95Lat_ms,MinLat_ms,MaxLat_ms,AvgLat_ms,Throughput_MBps,Disconnects,Result
500,tcp://43.204.30.19:1883,100.00,99.86,157,1,606,74,0.02,0,PASS
1000,tcp://43.204.30.19:1883,99.80,99.85,305,0,694,138,0.05,0,PASS
1500,tcp://43.204.30.19:1883,66.53,66.51,342,0,555,154,0.05,0,FAIL
2000,tcp://15.206.168.146:1883,74.90,74.88,298,0,445,128,0.07,0,FAIL
2500,tcp://43.204.25.225:1883,79.92,79.84,260,0,435,112,0.10,0,FAIL
3000,tcp://43.204.25.225:1883,83.23,83.00,345,0,606,148,0.12,0,FAIL
