TotalSubs,ActiveBroker,ConnPct,DelPct,P95Lat_ms,MinLat_ms,MaxLat_ms,AvgLat_ms,Throughput_MBps,Disconnects,Result
500,tcp://13.126.39.164:1883,100.00,99.97,122,0,205,50,0.24,0,PASS
1000,tcp://13.126.39.164:1883,96.70,96.69,211,0,376,90,0.46,0,FAIL
1500,tcp://13.126.39.164:1883,64.47,64.38,239,0,426,102,0.46,0,FAIL
