TotalSubs,ActiveBroker,ConnPct,DelPct,P95Lat_ms,MinLat_ms,MaxLat_ms,AvgLat_ms,Throughput_MBps,Disconnects,Result
500,tcp://43.204.30.19:1883,100.00,100.00,147,0,239,71,2.38,0,PASS
1000,tcp://43.204.30.19:1883,99.80,99.82,337,0,450,161,4.76,0,FAIL
1500,tcp://15.206.168.146:1883,99.87,99.94,346,0,527,150,7.15,0,FAIL
2000,tcp://43.204.25.225:1883,99.90,100.00,325,1,1018,142,9.54,0,FAIL
2500,tcp://43.204.25.225:1883,99.88,99.89,352,0,540,159,11.91,0,FAIL
