TotalSubs,ActiveBroker,ConnPct,DelPct,P95Lat_ms,MinLat_ms,MaxLat_ms,AvgLat_ms,Throughput_MBps,Disconnects,Result
500,tcp://43.204.30.19:1883,100.00,100.00,169,1,425,77,0.24,0,PASS
1000,tcp://43.204.30.19:1883,99.80,99.81,395,1,1549,187,0.48,0,FAIL
1500,tcp://15.206.168.146:1883,99.87,99.87,335,1,485,142,0.71,0,FAIL
2000,tcp://43.204.25.225:1883,99.90,99.86,320,1,511,129,0.95,0,FAIL
2500,tcp://43.204.25.225:1883,99.88,100.00,345,1,548,152,1.19,0,FAIL
