TotalSubs,ActiveBroker,ConnPct,DelPct,P95Lat_ms,MinLat_ms,MaxLat_ms,AvgLat_ms,Throughput_MBps,Disconnects
500,tcp://43.205.36.178:1883,100.00,99.73,186,1,308,93,2.38,0
1000,tcp://43.205.36.178:1883,99.80,99.78,408,1,639,198,4.76,0
1500,tcp://13.202.114.71:1883,99.87,99.84,377,1,580,159,7.14,0
2000,tcp://13.233.248.24:1883,99.90,99.68,374,1,538,147,9.51,0
2500,tcp://13.233.248.24:1883,99.88,99.76,391,1,596,174,11.89,0
