TotalSubs,ActiveBroker,ConnPct,DelPct,P95Lat_ms,MinLat_ms,MaxLat_ms,AvgLat_ms,Throughput_MBps,Disconnects,Result
500,tcp://13.126.39.164:1883,100.00,99.83,130,0,254,58,0.24,0,PASS
1000,tcp://13.126.39.164:1883,96.70,96.71,302,0,504,123,0.46,0,FAIL
1500,tcp://13.126.39.164:1883,64.47,64.49,265,0,462,116,0.46,0,FAIL
