TotalSubs,ActiveBroker,ConnPct,DelPct,P95Lat_ms,MinLat_ms,MaxLat_ms,AvgLat_ms,Throughput_MBps,Disconnects,Result
500,tcp://43.204.30.19:1883,100.00,99.35,177,0,271,85,0.02,0,PASS
1000,tcp://43.204.30.19:1883,99.80,99.80,381,0,588,174,0.05,0,PASS
1500,tcp://43.204.30.19:1883,66.53,66.53,378,0,625,175,0.05,0,FAIL
2000,tcp://15.206.168.146:1883,74.90,74.87,353,0,503,147,0.07,0,FAIL
2500,tcp://43.204.25.225:1883,79.92,79.75,331,0,512,131,0.10,0,FAIL
3000,tcp://43.204.25.225:1883,83.23,83.19,392,0,876,168,0.12,0,FAIL
