TotalSubs,ActiveBroker,ConnPct,DelPct,P95Lat_ms,MinLat_ms,MaxLat_ms,AvgLat_ms,Throughput_MBps,Disconnects,Result
500,tcp://43.204.30.19:1883,100.00,99.90,182,1,280,86,2.38,0,PASS
1000,tcp://43.204.30.19:1883,99.80,99.80,396,1,529,184,4.76,0,FAIL
1500,tcp://15.206.168.146:1883,99.87,99.91,396,1,531,165,7.15,0,FAIL
2000,tcp://43.204.25.225:1883,99.90,99.82,342,0,532,141,9.52,0,FAIL
2500,tcp://43.204.25.225:1883,99.88,99.83,391,0,615,173,11.90,0,FAIL
