TotalSubs,ActiveBroker,ConnPct,DelPct,P95Lat_ms,MinLat_ms,MaxLat_ms,AvgLat_ms,Throughput_MBps,Disconnects,Result
500,tcp://13.126.39.164:1883,100.00,99.44,145,0,217,62,0.02,0,PASS
1000,tcp://13.126.39.164:1883,96.70,96.70,286,0,480,120,0.05,0,FAIL
1500,tcp://13.126.39.164:1883,64.47,64.55,299,0,504,126,0.05,0,FAIL
