TotalSubs,ActiveBroker,ConnPct,DelPct,P95Lat_ms,MinLat_ms,MaxLat_ms,AvgLat_ms,Throughput_MBps,Disconnects,Result
500,tcp://13.126.39.164:1883,100.00,100.00,150,0,261,66,2.38,0,PASS
1000,tcp://13.126.39.164:1883,96.70,96.70,321,0,533,135,4.61,0,FAIL
1500,tcp://13.126.39.164:1883,64.47,64.44,497,0,779,192,4.61,0,FAIL
