TotalSubs,ActiveBroker,ConnPct,DelPct,P95Lat_ms,MinLat_ms,MaxLat_ms,AvgLat_ms,Throughput_MBps,Disconnects,Result
500,tcp://43.204.30.19:1883,100.00,100.00,175,0,285,82,0.24,0,PASS
1000,tcp://43.204.30.19:1883,99.80,99.80,379,0,590,178,0.48,0,FAIL
1500,tcp://15.206.168.146:1883,99.87,99.85,364,0,742,151,0.71,0,FAIL
2000,tcp://43.204.25.225:1883,99.90,99.66,357,0,651,138,0.95,0,FAIL
2500,tcp://43.204.25.225:1883,99.88,99.90,346,0,551,157,1.19,0,FAIL
