TotalSubs,ActiveBroker,Conn%,Del%,P95Lat,Disc,Result
500,tcp://43.205.36.178:1883,100.00,100.00,5,0,PASS
1000,tcp://43.205.36.178:1883,99.80,99.63,5,0,PASS
1500,tcp://43.205.36.178:1883,66.53,66.53,5,0,FAIL
2000,tcp://13.202.114.71:1883,74.90,74.90,5,0,FAIL
2500,tcp://13.233.248.24:1883,79.92,79.92,5,0,FAIL
3000,tcp://13.233.248.24:1883,83.23,83.23,5,0,FAIL
3500,tcp://13.233.248.24:1883,71.34,71.29,5,0,FAIL
4000,tcp://13.233.248.24:1883,62.42,60.77,5,0,FAIL
4500,tcp://13.233.248.24:1883,55.49,56.89,5,0,FAIL
