ts,step,target_subs,target_pubs,connected_subs,connected_pubs,sub_conn_ok_delta,sub_conn_fail_delta,sub_disc_delta,sub_subscribe_err_delta,pub_conn_ok_delta,pub_conn_fail_delta,pub_disc_delta,pubs_sent_delta,pubs_err_delta,msgs_recv_delta,expected_deliveries_delta,lost_delta,dup_delta,reorder_delta,delivery_ratio,p50_ms,p95_ms,p99_ms
2025-12-14T14:16:27Z,1,500,50,500,50,500,0,0,0,50,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:16:28Z,2,500,50,500,50,0,0,0,0,0,0,0,50,0,2151,25000,0,0,0,0.086040,400.000,625.000,625.000
2025-12-14T14:16:29Z,3,500,50,500,50,0,0,0,0,0,0,0,48,0,5141,24000,0,0,0,0.214208,875.000,1750.000,1750.000
2025-12-14T14:16:30Z,4,500,50,500,50,0,0,0,0,0,0,0,34,0,5484,17000,0,0,0,0.322588,1250.000,2500.000,2500.000
2025-12-14T14:16:31Z,5,500,50,500,50,0,0,0,0,0,0,0,42,0,4524,21000,0,0,0,0.215429,1750.000,2500.000,2500.000
2025-12-14T14:16:32Z,6,500,50,500,50,0,0,0,0,0,0,0,58,0,5157,29000,0,0,0,0.177828,1750.000,2500.000,2500.000
2025-12-14T14:16:33Z,7,500,50,500,50,0,0,0,0,0,0,0,54,0,4704,27000,0,0,0,0.174222,2500.000,4000.000,4000.000
2025-12-14T14:16:34Z,8,500,50,500,50,0,0,0,0,0,0,0,48,0,4892,24000,0,0,0,0.203833,2500.000,4000.000,4000.000
2025-12-14T14:16:35Z,9,500,50,500,50,0,0,0,0,0,0,0,48,0,5627,24000,0,0,0,0.234458,2500.000,4000.000,4000.000
2025-12-14T14:16:36Z,10,500,50,500,50,0,0,0,0,0,0,0,48,0,5472,24000,0,0,0,0.228000,2500.000,4000.000,7500.000
2025-12-14T14:16:37Z,11,500,50,500,50,0,0,0,0,0,0,0,49,0,4413,24500,0,0,0,0.180122,4000.000,7500.000,7500.000
2025-12-14T14:16:38Z,12,500,50,500,50,0,0,0,0,0,0,0,51,0,5320,25500,0,0,0,0.208627,4000.000,7500.000,7500.000
