ts_utc,epoch_index,brokers_used,step_index,target_subs,target_pubs,connected_subs,fully_subscribed_subs,connected_pubs,sub_conn_ok,sub_conn_fail,sub_disc,sub_sub_err,pub_conn_ok,pub_conn_fail,pub_disc,pubs_sent,pubs_err,msgs_recv,expected,delivery_ratio,p50_ms,p95_ms,p99_ms,disconnects_per_min,sla_breached,sla_reason
2025-12-21T14:07:56Z,1,3,1,500,50,500,500,50,500,0,0,0,50,0,0,3000,0,1476676,1500000,0.984451,625.000,875.000,875.000,0.000,true,delivery_pct=98.45 < 99.00
2025-12-21T14:08:56Z,1,3,2,600,50,600,600,50,100,0,0,0,0,0,0,3000,0,1797281,1800000,0.998489,625.000,875.000,1250.000,0.000,true,p95_ms=875.00 > 200.00
