ts_utc,recv_ts_unix_nano,pub_ts_unix_nano,pub_id,seq,latency_ms,topic
2025-12-14T14:50:44.957894179Z,1765723844957893603,1765723844008683699,4,7925276987080709432,949.210,bench/topic/4
2025-12-14T14:50:44.960061893Z,1765723844960061114,1765723844010135877,7,957318261464797487,949.925,bench/topic/7
2025-12-14T14:50:44.967962784Z,1765723844967961612,1765723844010135877,7,957318261464797487,957.826,bench/topic/7
2025-12-14T14:50:44.970182655Z,1765723844970181621,1765723844008683699,4,7925276987080709432,961.498,bench/topic/4
2025-12-14T14:50:44.973147469Z,1765723844973146437,1765723844008683699,4,7925276987080709432,964.463,bench/topic/4
2025-12-14T14:50:44.979273422Z,1765723844979272616,1765723844038453747,5,3730561732409256701,940.819,bench/topic/5
2025-12-14T14:50:44.98362638Z,1765723844983625625,1765723844038453747,5,3730561732409256701,945.172,bench/topic/5
2025-12-14T14:50:44.984963822Z,1765723844984963076,1765723844008683699,4,7925276987080709432,976.279,bench/topic/4
2025-12-14T14:50:44.989928526Z,1765723844989927423,1765723844008683699,4,7925276987080709432,981.244,bench/topic/4
2025-12-14T14:50:44.994562515Z,1765723844994561758,1765723844008683699,4,7925276987080709432,985.878,bench/topic/4
2025-12-14T14:50:44.998964251Z,1765723844998963111,1765723844010135877,7,957318261464797487,988.827,bench/topic/7
2025-12-14T14:50:45.035147799Z,1765723845035146996,1765723844010135877,7,957318261464797487,1025.011,bench/topic/7
2025-12-14T14:50:45.065286638Z,1765723845065285808,1765723844008683699,4,7925276987080709432,1056.602,bench/topic/4
2025-12-14T14:50:45.069726165Z,1765723845069725432,1765723844010135877,7,957318261464797487,1059.590,bench/topic/7
2025-12-14T14:50:45.073179024Z,1765723845073178203,1765723844038453747,5,3730561732409256701,1034.724,bench/topic/5
2025-12-14T14:50:45.074210827Z,1765723845074209704,1765723844038453747,5,3730561732409256701,1035.756,bench/topic/5
2025-12-14T14:50:45.081073759Z,1765723845081072972,1765723844038453747,5,3730561732409256701,1042.619,bench/topic/5
2025-12-14T14:50:45.083801788Z,1765723845083800949,1765723844038453747,5,3730561732409256701,1045.347,bench/topic/5
2025-12-14T14:50:45.089174608Z,1765723845089173762,1765723844038453747,5,3730561732409256701,1050.720,bench/topic/5
2025-12-14T14:50:45.092032728Z,1765723845092031903,1765723844008683699,4,7925276987080709432,1083.348,bench/topic/4
2025-12-14T14:50:45.097860036Z,1765723845097859054,1765723844008683699,4,7925276987080709432,1089.175,bench/topic/4
2025-12-14T14:50:45.100991347Z,1765723845100990451,1765723844010135877,7,957318261464797487,1090.855,bench/topic/7
2025-12-14T14:50:45.102956972Z,1765723845102956228,1765723844008683699,4,7925276987080709432,1094.273,bench/topic/4
