ts,step,target_subs,target_pubs,connected_subs,connected_pubs,conn_ok,conn_fail,disconnects,pubs_sent,pubs_err,msgs_recv,recv_rate_msgs_per_s,p50_ms,p95_ms,p99_ms
2025-12-14T12:29:13Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:29:14Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:29:15Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:29:16Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:29:17Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:29:18Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:29:19Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:29:20Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:29:21Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:29:22Z,1,200,5,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:29:23Z,1,200,5,200,5,205,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:29:24Z,1,200,5,200,5,205,0,0,5,0,811,811.000,20.000,50.000,50.000
2025-12-14T12:29:25Z,1,200,5,200,5,205,0,0,10,0,1622,811.000,10.000,50.000,50.000
2025-12-14T12:29:26Z,1,200,5,200,5,205,0,0,15,0,2433,811.000,10.000,50.000,50.000
2025-12-14T12:29:27Z,1,200,5,200,5,205,0,0,20,0,3244,811.000,10.000,50.000,50.000
2025-12-14T12:29:28Z,1,200,5,200,5,205,0,0,25,0,4055,811.000,10.000,50.000,50.000
2025-12-14T12:29:29Z,1,200,5,200,5,205,0,0,30,0,4866,811.000,10.000,50.000,50.000
2025-12-14T12:29:30Z,1,200,5,200,5,205,0,0,35,0,5677,811.000,10.000,50.000,50.000
2025-12-14T12:29:31Z,1,200,5,200,5,205,0,0,40,0,6488,811.000,10.000,50.000,50.000
2025-12-14T12:29:32Z,2,400,10,200,5,205,0,0,45,0,7299,811.000,20.000,50.000,50.000
2025-12-14T12:29:33Z,2,400,10,400,10,410,0,0,50,0,8151,852.000,20.000,50.000,50.000
2025-12-14T12:29:34Z,2,400,10,400,10,410,0,0,60,0,11248,3097.000,20.000,100.000,200.000
2025-12-14T12:29:35Z,2,400,10,400,10,410,0,0,70,0,14345,3097.000,20.000,100.000,200.000
2025-12-14T12:29:36Z,2,400,10,400,10,410,0,0,80,0,17442,3097.000,50.000,100.000,200.000
2025-12-14T12:29:37Z,2,400,10,400,10,410,0,0,90,0,20539,3097.000,50.000,100.000,200.000
2025-12-14T12:29:38Z,2,400,10,400,10,410,0,0,100,0,23636,3097.000,50.000,100.000,200.000
2025-12-14T12:29:39Z,2,400,10,400,10,410,0,0,110,0,26733,3097.000,50.000,100.000,200.000
2025-12-14T12:29:40Z,2,400,10,400,10,410,0,0,120,0,29830,3097.000,50.000,100.000,200.000
2025-12-14T12:29:41Z,2,400,10,400,10,410,0,0,130,0,32927,3097.000,50.000,100.000,200.000
2025-12-14T12:29:42Z,3,600,15,400,10,410,0,0,140,0,36024,3097.000,50.000,100.000,200.000
2025-12-14T12:29:43Z,3,600,15,600,15,615,0,0,150,0,39225,3201.000,50.000,200.000,200.000
2025-12-14T12:29:44Z,3,600,15,600,15,615,0,0,165,0,46091,6866.000,50.000,200.000,200.000
2025-12-14T12:29:45Z,3,600,15,600,15,615,0,0,180,0,52957,6866.000,50.000,200.000,200.000
2025-12-14T12:29:46Z,3,600,15,600,15,615,0,0,195,0,59823,6866.000,100.000,200.000,500.000
2025-12-14T12:29:47Z,3,600,15,600,15,615,0,0,210,0,66689,6866.000,100.000,200.000,500.000
2025-12-14T12:29:48Z,3,600,15,600,15,615,0,0,225,0,73555,6866.000,100.000,200.000,500.000
2025-12-14T12:29:49Z,3,600,15,600,15,615,0,0,240,0,80421,6866.000,100.000,200.000,500.000
2025-12-14T12:29:50Z,3,600,15,600,15,615,0,0,255,0,87287,6866.000,100.000,200.000,500.000
2025-12-14T12:29:51Z,3,600,15,600,15,615,0,0,270,0,94153,6866.000,100.000,200.000,500.000
2025-12-14T12:29:52Z,4,800,20,600,15,615,0,0,285,0,101019,6866.000,100.000,200.000,500.000
2025-12-14T12:29:53Z,4,800,20,800,20,820,0,0,300,0,108537,7518.000,100.000,500.000,500.000
2025-12-14T12:29:54Z,4,800,20,800,20,820,0,0,320,0,121144,12607.000,100.000,500.000,500.000
2025-12-14T12:29:55Z,4,800,20,800,20,820,0,0,340,0,133751,12607.000,100.000,500.000,500.000
2025-12-14T12:29:56Z,4,800,20,800,20,820,0,0,360,0,146358,12607.000,100.000,500.000,500.000
2025-12-14T12:29:57Z,4,800,20,800,20,820,0,0,380,0,158965,12607.000,100.000,500.000,500.000
2025-12-14T12:29:58Z,4,800,20,800,20,820,0,0,400,0,171572,12607.000,200.000,500.000,500.000
2025-12-14T12:29:59Z,4,800,20,800,20,820,0,0,420,0,184179,12607.000,200.000,500.000,500.000
2025-12-14T12:30:00Z,4,800,20,800,20,820,0,0,440,0,196786,12607.000,200.000,500.000,500.000
2025-12-14T12:30:01Z,4,800,20,800,20,820,0,0,460,0,209393,12607.000,200.000,500.000,500.000
2025-12-14T12:30:02Z,5,1000,25,800,20,820,0,0,496,0,221410,12017.000,200.000,500.000,1000.000
2025-12-14T12:30:03Z,5,1000,25,989,23,1012,8,0,499,0,225202,3792.000,200.000,500.000,1000.000
2025-12-14T12:30:04Z,5,1000,25,994,23,1017,8,0,523,0,249903,24701.000,200.000,1000.000,2000.000
2025-12-14T12:30:05Z,5,1000,25,994,23,1017,8,0,546,0,267544,17641.000,200.000,1000.000,2000.000
2025-12-14T12:30:06Z,5,1000,25,994,23,1017,8,0,569,0,285786,18242.000,200.000,1000.000,2000.000
2025-12-14T12:30:07Z,5,1000,25,994,23,1017,8,0,592,0,303328,17542.000,200.000,1000.000,2000.000
2025-12-14T12:30:08Z,5,1000,25,994,23,1017,8,0,615,0,322428,19100.000,200.000,1000.000,2000.000
2025-12-14T12:30:09Z,5,1000,25,994,23,1017,8,0,638,0,340420,17992.000,200.000,1000.000,2000.000
2025-12-14T12:30:10Z,5,1000,25,994,23,1017,8,0,661,0,358317,17897.000,200.000,1000.000,2000.000
2025-12-14T12:30:11Z,5,1000,25,994,23,1017,8,0,684,0,375698,17381.000,200.000,1000.000,2000.000
2025-12-14T12:30:12Z,6,1000,25,994,23,1017,8,0,707,0,393089,17391.000,200.000,1000.000,2000.000
