TotalSubs,ActiveBroker,ConnPct,DelPct,P95Lat_ms,MinLat_ms,MaxLat_ms,AvgLat_ms,Throughput_MBps,Disconnects
500,tcp://43.205.176.30:1883,100.00,99.67,49,0,138,26,0.24,0
1000,tcp://43.205.176.30:1883,96.60,96.60,93,0,152,48,0.46,0
1500,tcp://43.205.176.30:1883,64.40,64.43,95,0,390,52,0.46,0
