ts,step,target_subs,target_pubs,connected_subs,connected_pubs,sub_conn_ok_delta,sub_conn_fail_delta,sub_disc_delta,sub_subscribe_err_delta,pub_conn_ok_delta,pub_conn_fail_delta,pub_disc_delta,pubs_sent_delta,pubs_err_delta,msgs_recv_delta,expected_deliveries_delta,lost_delta,dup_delta,reorder_delta,delivery_ratio,p50_ms,p95_ms,p99_ms
2025-12-14T14:50:43Z,1,500,10,500,10,500,0,0,0,10,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:50:44Z,2,500,10,500,10,0,0,0,0,0,0,0,8,0,52,4000,0,0,0,0.013000,400.000,400.000,400.000
2025-12-14T14:50:46Z,3,500,10,500,10,0,0,0,0,0,0,0,9,0,339,4500,0,0,0,0.075333,1250.000,2500.000,2500.000
2025-12-14T14:50:46Z,4,500,10,500,10,0,0,0,0,0,0,0,5,0,342,2500,0,0,0,0.136800,2500.000,2500.000,2500.000
2025-12-14T14:50:47Z,5,500,10,500,10,0,0,0,0,0,0,0,13,0,413,6500,0,0,0,0.063538,2500.000,4000.000,4000.000
2025-12-14T14:50:48Z,6,500,10,500,10,0,0,0,0,0,0,0,3,0,515,1500,0,0,0,0.343333,4000.000,4000.000,4000.000
2025-12-14T14:50:49Z,7,500,10,500,10,0,0,0,0,0,0,0,9,0,418,4500,0,0,0,0.092889,4000.000,7500.000,7500.000
2025-12-14T14:50:50Z,8,500,10,500,10,0,0,0,0,0,0,0,10,0,467,5000,0,0,0,0.093400,4000.000,7500.000,7500.000
2025-12-14T14:50:51Z,9,500,10,500,10,0,0,0,0,0,0,0,8,0,409,4000,0,0,0,0.102250,4000.000,7500.000,7500.000
2025-12-14T14:50:52Z,10,500,10,500,10,0,0,0,0,0,0,0,5,0,393,2500,0,0,0,0.157200,4000.000,7500.000,7500.000
2025-12-14T14:50:53Z,11,500,10,500,10,0,0,0,0,0,0,0,12,0,433,6000,0,0,0,0.072167,7500.000,7500.000,7500.000
2025-12-14T14:50:54Z,12,500,10,500,10,0,0,0,0,0,0,0,15,0,588,7500,0,0,0,0.078400,7500.000,7500.000,7500.000
2025-12-14T14:50:55Z,13,500,10,500,10,0,0,0,0,0,0,0,10,0,606,5000,0,0,0,0.121200,7500.000,7500.000,7500.000
2025-12-14T14:50:56Z,14,500,10,500,10,0,0,0,0,0,0,0,5,0,558,2500,0,0,0,0.223200,7500.000,7500.000,7500.000
2025-12-14T14:50:57Z,15,500,10,500,10,0,0,0,0,0,0,0,4,0,559,2000,0,0,0,0.279500,7500.000,7500.000,7500.000
2025-12-14T14:50:58Z,16,500,10,500,10,0,0,0,0,0,0,0,2,0,532,1000,0,0,0,0.532000,7500.000,7500.000,7500.000
2025-12-14T14:50:59Z,17,500,10,500,10,0,0,0,0,0,0,0,2,0,561,1000,0,0,0,0.561000,7500.000,7500.000,7500.000
2025-12-14T14:51:00Z,18,500,10,500,10,0,0,0,0,0,0,0,1,0,511,500,0,0,0,1.022000,7500.000,7500.000,7500.000
2025-12-14T14:51:01Z,19,500,10,500,10,0,0,0,0,0,0,0,3,0,387,1500,0,0,0,0.258000,7500.000,7500.000,7500.000
2025-12-14T14:51:02Z,20,500,10,500,10,0,0,0,0,0,0,0,3,0,431,1500,0,0,0,0.287333,7500.000,7500.000,7500.000
2025-12-14T14:51:03Z,21,500,10,500,10,0,0,0,0,0,0,0,1,0,489,500,0,0,0,0.978000,7500.000,7500.000,7500.000
2025-12-14T14:51:04Z,22,500,10,500,10,0,0,0,0,0,0,0,2,0,533,1000,0,0,0,0.533000,7500.000,7500.000,7500.000
2025-12-14T14:51:05Z,23,500,10,500,10,0,0,0,0,0,0,0,2,0,493,1000,0,0,0,0.493000,7500.000,7500.000,7500.000
2025-12-14T14:51:06Z,24,500,10,500,10,0,0,0,0,0,0,0,2,0,470,1000,0,0,0,0.470000,7500.000,7500.000,7500.000
2025-12-14T14:51:07Z,25,500,10,500,10,0,0,0,0,0,0,0,3,0,479,1500,0,0,0,0.319333,7500.000,7500.000,7500.000
2025-12-14T14:51:08Z,26,500,10,500,10,0,0,0,0,0,0,0,2,0,521,1000,0,0,0,0.521000,7500.000,7500.000,7500.000
2025-12-14T14:51:09Z,27,500,10,500,10,0,0,0,0,0,0,0,1,0,533,500,0,0,0,1.066000,7500.000,7500.000,7500.000
2025-12-14T14:51:10Z,28,500,10,500,10,0,0,0,0,0,0,0,2,0,519,1000,0,0,0,0.519000,7500.000,7500.000,7500.000
2025-12-14T14:51:11Z,29,500,10,500,10,0,0,0,0,0,0,0,3,0,545,1500,0,0,0,0.363333,7500.000,7500.000,7500.000
