ts,step,target_subs,target_pubs,connected_subs,connected_pubs,conn_ok,conn_fail,disconnects,pubs_sent,pubs_err,msgs_recv,recv_rate_msgs_per_s,p50_ms,p95_ms,p99_ms
2025-12-14T11:13:38Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:13:39Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:13:40Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:13:41Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:13:42Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:13:43Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:13:44Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:13:45Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:13:46Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:13:47Z,1,200,5,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:13:48Z,1,200,5,198,4,202,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:13:49Z,1,200,5,200,5,205,0,0,2,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:13:50Z,1,200,5,200,5,205,0,0,2,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:13:51Z,1,200,5,200,5,205,0,0,2,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:13:52Z,1,200,5,0,0,205,0,205,2,10,0,0.000,0.000,0.000,0.000
2025-12-14T11:13:53Z,1,200,5,0,0,205,0,205,2,15,0,0.000,0.000,0.000,0.000
2025-12-14T11:13:54Z,1,200,5,0,0,205,0,205,2,20,0,0.000,0.000,0.000,0.000
2025-12-14T11:13:55Z,1,200,5,0,0,205,0,205,2,25,0,0.000,0.000,0.000,0.000
2025-12-14T11:13:56Z,1,200,5,0,0,205,0,205,2,30,0,0.000,0.000,0.000,0.000
2025-12-14T11:13:57Z,2,400,10,0,0,205,0,205,2,35,0,0.000,0.000,0.000,0.000
2025-12-14T11:13:58Z,2,400,10,200,5,410,0,205,2,40,0,0.000,0.000,0.000,0.000
2025-12-14T11:13:59Z,2,400,10,200,5,410,0,205,3,45,0,0.000,0.000,0.000,0.000
2025-12-14T11:14:00Z,2,400,10,200,5,410,0,205,5,50,0,0.000,0.000,0.000,0.000
2025-12-14T11:14:01Z,2,400,10,200,5,410,0,205,6,55,1,1.000,5000.000,5000.000,5000.000
2025-12-14T11:14:02Z,2,400,10,200,5,410,0,205,6,60,1,0.000,5000.000,5000.000,5000.000
2025-12-14T11:14:03Z,2,400,10,200,5,410,0,205,6,65,2,1.000,5000.000,5000.000,5000.000
2025-12-14T11:14:04Z,2,400,10,200,5,410,0,205,6,70,2,0.000,5000.000,5000.000,5000.000
2025-12-14T11:14:05Z,2,400,10,200,5,410,0,205,6,75,2,0.000,5000.000,5000.000,5000.000
2025-12-14T11:14:06Z,2,400,10,200,5,410,0,205,6,80,2,0.000,5000.000,5000.000,5000.000
2025-12-14T11:14:07Z,3,600,15,200,5,410,0,205,6,85,2,0.000,5000.000,5000.000,5000.000
2025-12-14T11:14:08Z,3,600,15,200,5,410,0,205,6,90,2,0.000,5000.000,5000.000,5000.000
2025-12-14T11:14:09Z,3,600,15,200,5,410,0,205,6,95,2,0.000,5000.000,5000.000,5000.000
2025-12-14T11:14:10Z,3,600,15,200,5,410,0,205,6,100,2,0.000,5000.000,5000.000,5000.000
2025-12-14T11:14:11Z,3,600,15,200,5,410,0,205,6,105,2,0.000,5000.000,5000.000,5000.000
2025-12-14T11:14:12Z,3,600,15,200,5,410,0,205,6,110,2,0.000,5000.000,5000.000,5000.000
2025-12-14T11:14:13Z,3,600,15,200,5,410,0,205,6,115,2,0.000,5000.000,5000.000,5000.000
2025-12-14T11:14:14Z,3,600,15,200,5,410,0,205,6,120,2,0.000,5000.000,5000.000,5000.000
2025-12-14T11:14:15Z,3,600,15,200,5,410,0,205,6,125,2,0.000,5000.000,5000.000,5000.000
2025-12-14T11:14:16Z,3,600,15,200,5,410,0,205,6,130,2,0.000,5000.000,5000.000,5000.000
2025-12-14T11:14:17Z,4,800,20,200,5,410,0,205,6,135,2,0.000,5000.000,5000.000,5000.000
