TotalSubs,ActiveBroker,ConnPct,DelPct,P95Lat_ms,MinLat_ms,MaxLat_ms,AvgLat_ms,Throughput_MBps,Disconnects,Result
500,tcp://43.205.176.30:1883,100.00,99.70,57,0,252,29,2.39,0,PASS
1000,tcp://43.205.176.30:1883,96.60,96.94,111,0,144,57,4.60,0,FAIL
1500,tcp://43.205.176.30:1883,64.40,64.41,109,0,178,58,4.61,0,FAIL
