ts,step,target_subs,target_pubs,connected_subs,connected_pubs,conn_ok,conn_fail,disconnects,pubs_sent,pubs_err,msgs_recv,recv_rate_msgs_per_s,p50_ms,p95_ms,p99_ms
2025-12-14T11:02:27Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:02:28Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:02:29Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:02:30Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:02:31Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:02:32Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:02:33Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:02:34Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:02:35Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:02:36Z,1,200,5,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:02:37Z,1,200,5,200,5,205,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:02:38Z,1,200,5,200,5,205,0,0,5,0,1000,1000.000,500.000,500.000,500.000
2025-12-14T11:02:39Z,1,200,5,200,5,205,0,0,10,0,2000,1000.000,200.000,500.000,500.000
2025-12-14T11:02:40Z,1,200,5,200,5,205,0,0,15,0,3000,1000.000,200.000,500.000,500.000
2025-12-14T11:02:41Z,1,200,5,200,5,205,0,0,20,0,4000,1000.000,200.000,500.000,500.000
2025-12-14T11:02:42Z,1,200,5,200,5,205,0,0,25,0,5000,1000.000,200.000,500.000,500.000
2025-12-14T11:02:43Z,1,200,5,200,5,205,0,0,30,0,6000,1000.000,200.000,500.000,500.000
2025-12-14T11:02:44Z,1,200,5,200,5,205,0,0,35,0,7000,1000.000,200.000,500.000,500.000
2025-12-14T11:02:45Z,1,200,5,200,5,205,0,0,40,0,8000,1000.000,200.000,500.000,500.000
2025-12-14T11:02:46Z,2,400,10,200,5,205,0,0,45,0,9000,1000.000,200.000,500.000,500.000
2025-12-14T11:02:47Z,2,400,10,400,10,410,0,0,50,0,10378,1378.000,200.000,500.000,500.000
2025-12-14T11:02:48Z,2,400,10,400,10,410,0,0,60,0,14378,4000.000,200.000,1000.000,1000.000
2025-12-14T11:02:49Z,2,400,10,400,10,410,0,0,70,0,18377,3999.000,200.000,1000.000,1000.000
2025-12-14T11:02:50Z,2,400,10,400,10,410,0,0,80,0,22378,4001.000,500.000,1000.000,1000.000
2025-12-14T11:02:51Z,2,400,10,400,10,410,0,0,90,0,26378,4000.000,500.000,1000.000,1000.000
2025-12-14T11:02:52Z,2,400,10,400,10,410,0,0,100,0,30378,4000.000,500.000,1000.000,1000.000
2025-12-14T11:02:53Z,2,400,10,400,10,410,0,0,110,0,34378,4000.000,500.000,1000.000,1000.000
2025-12-14T11:02:54Z,2,400,10,400,10,410,0,0,120,0,38378,4000.000,500.000,1000.000,1000.000
2025-12-14T11:02:55Z,2,400,10,400,10,410,0,0,130,0,42378,4000.000,500.000,1000.000,1000.000
2025-12-14T11:02:56Z,3,600,15,400,10,410,0,0,140,0,46378,4000.000,500.000,1000.000,1000.000
2025-12-14T11:02:57Z,3,600,15,599,15,614,0,0,150,0,50548,4170.000,500.000,1000.000,1000.000
2025-12-14T11:02:58Z,3,600,15,600,15,615,0,0,165,0,55166,4618.000,500.000,1000.000,1000.000
2025-12-14T11:02:59Z,3,600,15,600,15,615,0,0,180,0,59615,4449.000,500.000,1000.000,2000.000
2025-12-14T11:03:00Z,3,600,15,600,15,615,0,0,195,0,63920,4305.000,500.000,2000.000,5000.000
2025-12-14T11:03:01Z,3,600,15,600,15,615,0,0,210,0,66683,2763.000,500.000,2000.000,5000.000
2025-12-14T11:03:02Z,3,600,15,600,15,615,0,0,225,0,69954,3271.000,500.000,5000.000,5000.000
2025-12-14T11:03:03Z,3,600,15,600,15,615,0,0,240,0,73837,3883.000,1000.000,5000.000,5000.000
2025-12-14T11:03:04Z,3,600,15,600,15,615,0,0,255,0,77698,3861.000,1000.000,5000.000,5000.000
2025-12-14T11:03:05Z,3,600,15,600,15,615,0,0,270,0,81980,4282.000,1000.000,5000.000,5000.000
2025-12-14T11:03:06Z,4,800,20,600,15,615,0,0,285,0,86336,4356.000,1000.000,5000.000,10000.000
2025-12-14T11:03:07Z,4,800,20,600,15,615,0,0,300,0,90646,4310.000,1000.000,10000.000,10000.000
2025-12-14T11:03:08Z,4,800,20,600,15,615,0,0,315,0,94779,4133.000,1000.000,10000.000,10000.000
2025-12-14T11:03:09Z,4,800,20,600,15,615,0,0,330,0,99204,4425.000,1000.000,10000.000,10000.000
