ts,step,target_subs,target_pubs,connected_subs,connected_pubs,conn_ok,conn_fail,disconnects,pubs_sent,pubs_err,msgs_recv,recv_rate_msgs_per_s,p50_ms,p95_ms,p99_ms
2025-12-14T11:03:37Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:03:38Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:03:39Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:03:40Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:03:41Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:03:42Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:03:43Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:03:44Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:03:45Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:03:46Z,1,200,5,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:03:47Z,1,200,5,181,4,185,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T11:03:48Z,1,200,5,200,5,205,0,0,4,0,380,380.000,1000.000,1000.000,1000.000
2025-12-14T11:03:49Z,1,200,5,200,5,205,0,0,8,0,926,546.000,1000.000,2000.000,2000.000
2025-12-14T11:03:50Z,1,200,5,200,5,205,0,0,12,0,1454,528.000,2000.000,2000.000,2000.000
2025-12-14T11:03:51Z,1,200,5,200,5,205,0,0,16,0,1980,526.000,2000.000,2000.000,5000.000
2025-12-14T11:03:52Z,1,200,5,200,5,205,0,0,20,0,2497,517.000,2000.000,5000.000,5000.000
2025-12-14T11:03:53Z,1,200,5,200,5,205,0,0,26,0,3024,527.000,2000.000,5000.000,5000.000
2025-12-14T11:03:54Z,1,200,5,200,5,205,0,0,31,0,3546,522.000,2000.000,5000.000,5000.000
2025-12-14T11:03:55Z,1,200,5,200,5,205,0,0,36,0,4067,521.000,2000.000,5000.000,5000.000
2025-12-14T11:03:56Z,2,400,10,200,5,205,0,0,41,0,4601,534.000,2000.000,5000.000,10000.000
2025-12-14T11:03:57Z,2,400,10,200,5,205,0,0,46,0,5125,524.000,5000.000,5000.000,10000.000
2025-12-14T11:03:58Z,2,400,10,200,5,205,0,0,51,0,5658,533.000,5000.000,5000.000,10000.000
2025-12-14T11:03:59Z,2,400,10,200,5,205,0,0,55,0,6184,526.000,5000.000,5000.000,10000.000
2025-12-14T11:04:00Z,2,400,10,200,5,205,0,0,60,0,6689,505.000,5000.000,10000.000,10000.000
2025-12-14T11:04:01Z,2,400,10,200,5,205,0,0,64,0,7222,533.000,5000.000,10000.000,10000.000
2025-12-14T11:04:02Z,2,400,10,300,6,306,0,0,68,0,7668,446.000,5000.000,10000.000,10000.000
2025-12-14T11:04:03Z,2,400,10,300,6,306,0,0,71,0,8182,514.000,5000.000,10000.000,10000.000
2025-12-14T11:04:04Z,2,400,10,300,6,306,0,0,74,0,8664,482.000,5000.000,10000.000,10000.000
2025-12-14T11:04:05Z,2,400,10,300,6,306,0,0,78,0,9175,511.000,5000.000,10000.000,10000.000
2025-12-14T11:04:06Z,3,600,15,397,10,407,0,0,80,0,9667,492.000,5000.000,10000.000,10000.000
2025-12-14T11:04:07Z,3,600,15,397,10,407,0,0,81,0,10103,436.000,5000.000,10000.000,10000.000
2025-12-14T11:04:08Z,3,600,15,397,10,407,0,0,86,0,10661,558.000,5000.000,10000.000,10000.000
2025-12-14T11:04:09Z,3,600,15,397,10,407,0,0,91,0,11126,465.000,5000.000,10000.000,10000.000
2025-12-14T11:04:10Z,3,600,15,397,10,407,0,0,93,0,11644,518.000,5000.000,10000.000,10000.000
2025-12-14T11:04:11Z,3,600,15,497,11,508,0,0,94,0,12129,485.000,5000.000,10000.000,10000.000
2025-12-14T11:04:12Z,3,600,15,497,11,508,0,0,97,0,12551,422.000,10000.000,10000.000,10000.000
2025-12-14T11:04:13Z,3,600,15,497,11,508,0,0,108,0,13081,530.000,10000.000,10000.000,10000.000
2025-12-14T11:04:14Z,3,600,15,497,11,508,0,0,114,0,13567,486.000,10000.000,10000.000,10000.000
2025-12-14T11:04:15Z,3,600,15,497,11,508,0,0,119,0,14025,458.000,10000.000,10000.000,10000.000
2025-12-14T11:04:16Z,4,800,20,497,11,508,0,0,124,0,14522,497.000,10000.000,10000.000,10000.000
2025-12-14T11:04:17Z,4,800,20,497,11,508,0,0,127,0,15068,546.000,10000.000,10000.000,10000.000
2025-12-14T11:04:18Z,4,800,20,595,14,609,0,0,131,0,15593,525.000,10000.000,10000.000,10000.000
2025-12-14T11:04:19Z,4,800,20,595,14,609,0,0,132,0,16009,416.000,10000.000,10000.000,10000.000
2025-12-14T11:04:20Z,4,800,20,595,14,609,0,0,134,0,16488,479.000,10000.000,10000.000,10000.000
2025-12-14T11:04:21Z,4,800,20,595,14,609,0,0,136,0,16983,495.000,10000.000,10000.000,10000.000
2025-12-14T11:04:22Z,4,800,20,595,14,609,0,0,138,0,17573,590.000,10000.000,10000.000,10000.000
2025-12-14T11:04:23Z,4,800,20,595,14,609,0,0,141,0,18090,517.000,10000.000,10000.000,10000.000
2025-12-14T11:04:24Z,4,800,20,595,14,609,0,0,145,0,18556,466.000,10000.000,10000.000,10000.000
2025-12-14T11:04:25Z,4,800,20,595,14,609,0,0,147,0,18994,438.000,10000.000,10000.000,10000.000
2025-12-14T11:04:26Z,5,1000,25,595,14,609,0,0,151,0,19509,515.000,10000.000,10000.000,10000.000
2025-12-14T11:04:27Z,5,1000,25,595,14,609,8,0,153,0,20049,540.000,10000.000,10000.000,10000.000
2025-12-14T11:04:28Z,5,1000,25,595,14,609,8,0,155,0,20582,533.000,10000.000,10000.000,10000.000
2025-12-14T11:04:29Z,5,1000,25,694,16,710,8,0,157,0,21102,520.000,10000.000,10000.000,10000.000
2025-12-14T11:04:30Z,5,1000,25,694,16,710,8,0,158,0,21596,494.000,10000.000,10000.000,10000.000
2025-12-14T11:04:31Z,5,1000,25,694,16,710,8,0,158,0,22039,443.000,10000.000,10000.000,10000.000
