ts,step,target_subs,target_pubs,connected_subs,connected_pubs,conn_ok,conn_fail,disconnects,pubs_sent,pubs_err,msgs_recv,recv_rate_msgs_per_s,p50_ms,p95_ms,p99_ms
2025-12-14T12:30:54Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:30:55Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:30:56Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:30:57Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:30:58Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:30:59Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:31:00Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:31:01Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:31:02Z,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:31:03Z,1,200,5,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:31:04Z,1,200,5,200,5,205,0,0,0,0,0,0.000,0.000,0.000,0.000
2025-12-14T12:31:05Z,1,200,5,200,5,205,0,0,5,0,796,796.000,200.000,500.000,500.000
2025-12-14T12:31:06Z,1,200,5,200,5,205,0,0,10,0,1592,796.000,200.000,500.000,500.000
2025-12-14T12:31:07Z,1,200,5,200,5,205,0,0,15,0,2388,796.000,200.000,500.000,500.000
2025-12-14T12:31:08Z,1,200,5,200,5,205,0,0,20,0,3184,796.000,200.000,500.000,500.000
2025-12-14T12:31:09Z,1,200,5,200,5,205,0,0,25,0,3980,796.000,200.000,500.000,500.000
2025-12-14T12:31:10Z,1,200,5,200,5,205,0,0,30,0,4776,796.000,200.000,500.000,500.000
2025-12-14T12:31:11Z,1,200,5,200,5,205,0,0,35,0,5572,796.000,200.000,500.000,500.000
2025-12-14T12:31:12Z,1,200,5,200,5,205,0,0,40,0,6368,796.000,200.000,500.000,500.000
2025-12-14T12:31:13Z,2,400,10,200,5,205,0,0,45,0,7164,796.000,200.000,500.000,500.000
2025-12-14T12:31:14Z,2,400,10,400,10,410,0,0,50,0,8172,1008.000,200.000,500.000,500.000
2025-12-14T12:31:15Z,2,400,10,400,10,410,0,0,60,0,11234,3062.000,200.000,1000.000,1000.000
2025-12-14T12:31:16Z,2,400,10,400,10,410,0,0,70,0,14289,3055.000,200.000,1000.000,1000.000
2025-12-14T12:31:17Z,2,400,10,400,10,410,0,0,80,0,17358,3069.000,200.000,1000.000,1000.000
2025-12-14T12:31:18Z,2,400,10,400,10,410,0,0,90,0,20420,3062.000,500.000,1000.000,1000.000
2025-12-14T12:31:19Z,2,400,10,400,10,410,0,0,100,0,23482,3062.000,500.000,1000.000,1000.000
2025-12-14T12:31:20Z,2,400,10,400,10,410,0,0,110,0,26544,3062.000,500.000,1000.000,1000.000
2025-12-14T12:31:21Z,2,400,10,400,10,410,0,0,120,0,29606,3062.000,500.000,1000.000,1000.000
