ts_utc,recv_ts_unix_nano,pub_ts_unix_nano,pub_id,seq,latency_ms,topic
2025-12-14T14:49:58.981071119Z,1765723798981070186,1765723798036591812,7,204826109021299474,944.478,bench/topic/7
2025-12-14T14:49:58.982868619Z,1765723798982868000,1765723798036591812,7,204826109021299474,946.276,bench/topic/7
2025-12-14T14:49:58.987993881Z,1765723798987993097,1765723798036591812,7,204826109021299474,951.401,bench/topic/7
2025-12-14T14:49:58.992875534Z,1765723798992874799,1765723798036591812,7,204826109021299474,956.283,bench/topic/7
2025-12-14T14:49:58.993906991Z,1765723798993906208,1765723798036591812,7,204826109021299474,957.314,bench/topic/7
2025-12-14T14:49:58.995331729Z,1765723798995331124,1765723798036591812,7,204826109021299474,958.739,bench/topic/7
2025-12-14T14:49:58.997686744Z,1765723798997685521,1765723798036591812,7,204826109021299474,961.094,bench/topic/7
2025-12-14T14:49:59.006940912Z,1765723799006940101,1765723798036591812,7,204826109021299474,970.348,bench/topic/7
2025-12-14T14:49:59.011390268Z,1765723799011389484,1765723798036591812,7,204826109021299474,974.798,bench/topic/7
2025-12-14T14:49:59.022497224Z,1765723799022496001,1765723798036591812,7,204826109021299474,985.904,bench/topic/7
2025-12-14T14:49:59.02732775Z,1765723799027327031,1765723798036591812,7,204826109021299474,990.735,bench/topic/7
2025-12-14T14:49:59.030575046Z,1765723799030574312,1765723798036591812,7,204826109021299474,993.982,bench/topic/7
2025-12-14T14:49:59.037698957Z,1765723799037698175,1765723798036591812,7,204826109021299474,1001.106,bench/topic/7
2025-12-14T14:49:59.042692519Z,1765723799042691160,1765723798036591812,7,204826109021299474,1006.099,bench/topic/7
2025-12-14T14:49:59.052399954Z,1765723799052398921,1765723798036591812,7,204826109021299474,1015.807,bench/topic/7
2025-12-14T14:49:59.053612572Z,1765723799053611686,1765723798036591812,7,204826109021299474,1017.020,bench/topic/7
2025-12-14T14:49:59.062971077Z,1765723799062970030,1765723798036591812,7,204826109021299474,1026.378,bench/topic/7
2025-12-14T14:49:59.074955751Z,1765723799074955029,1765723798036591812,7,204826109021299474,1038.363,bench/topic/7
2025-12-14T14:49:59.074966395Z,1765723799074966113,1765723798036591812,7,204826109021299474,1038.374,bench/topic/7
2025-12-14T14:49:59.080047735Z,1765723799080046964,1765723798036591812,7,204826109021299474,1043.455,bench/topic/7
2025-12-14T14:49:59.084192003Z,1765723799084191212,1765723798036591812,7,204826109021299474,1047.599,bench/topic/7
2025-12-14T14:49:59.092503602Z,1765723799092502896,1765723798036591812,7,204826109021299474,1055.911,bench/topic/7
2025-12-14T14:49:59.095074232Z,1765723799095073587,1765723798036591812,7,204826109021299474,1058.482,bench/topic/7
2025-12-14T14:49:59.099764018Z,1765723799099762503,1765723798036591812,7,204826109021299474,1063.171,bench/topic/7
2025-12-14T14:49:59.105314119Z,1765723799105313272,1765723798036591812,7,204826109021299474,1068.721,bench/topic/7
2025-12-14T14:49:59.109194272Z,1765723799109193476,1765723798036591812,7,204826109021299474,1072.602,bench/topic/7
2025-12-14T14:49:59.110205758Z,1765723799110204955,1765723798036591812,7,204826109021299474,1073.613,bench/topic/7
2025-12-14T14:49:59.114332505Z,1765723799114331858,1765723798036591812,7,204826109021299474,1077.740,bench/topic/7
2025-12-14T14:49:59.119713636Z,1765723799119712757,1765723798036591812,7,204826109021299474,1083.121,bench/topic/7
