ts,step,target_subs,target_pubs,connected_subs,connected_pubs,sub_conn_ok_delta,sub_conn_fail_delta,sub_disc_delta,sub_subscribe_err_delta,pub_conn_ok_delta,pub_conn_fail_delta,pub_disc_delta,pubs_sent_delta,pubs_err_delta,msgs_recv_delta,expected_deliveries_delta,lost_delta,dup_delta,reorder_delta,delivery_ratio,p50_ms,p95_ms,p99_ms
2025-12-14T14:31:03Z,1,1000,10,1000,10,1000,0,0,0,10,0,0,0,0,0,0,0,0,0,0.000000,0.000,0.000,0.000
2025-12-14T14:31:04Z,2,1000,10,1000,10,0,0,0,0,0,0,0,10,0,851,10000,0,0,0,0.085100,400.000,625.000,625.000
2025-12-14T14:31:05Z,3,1000,10,1000,10,0,0,0,0,0,0,0,10,0,3726,10000,0,0,0,0.372600,1250.000,1750.000,1750.000
2025-12-14T14:31:06Z,4,1000,10,1000,10,0,0,0,0,0,0,0,10,0,3652,10000,0,0,0,0.365200,1250.000,2500.000,2500.000
2025-12-14T14:31:07Z,5,1000,10,1000,10,0,0,0,0,0,0,0,10,0,4604,10000,0,0,0,0.460400,1750.000,2500.000,2500.000
2025-12-14T14:31:08Z,6,1000,10,1000,10,0,0,0,0,0,0,0,10,0,4123,10000,0,0,0,0.412300,1750.000,2500.000,4000.000
2025-12-14T14:31:09Z,7,1000,10,1000,10,0,0,0,0,0,0,0,10,0,3826,10000,0,0,0,0.382600,2500.000,4000.000,4000.000
2025-12-14T14:31:10Z,8,1000,10,1000,10,0,0,0,0,0,0,0,10,0,4297,10000,0,0,0,0.429700,2500.000,4000.000,7500.000
2025-12-14T14:31:11Z,9,1000,10,1000,10,0,0,0,0,0,0,0,10,0,3788,10000,0,0,0,0.378800,4000.000,7500.000,7500.000
2025-12-14T14:31:12Z,10,1000,10,1000,10,0,0,0,0,0,0,0,10,0,3643,10000,0,0,0,0.364300,4000.000,7500.000,7500.000
2025-12-14T14:31:13Z,11,1000,10,1000,10,0,0,0,0,0,0,0,10,0,4140,10000,0,0,0,0.414000,4000.000,7500.000,7500.000
2025-12-14T14:31:14Z,12,1000,10,1000,10,0,0,0,0,0,0,0,10,0,3868,10000,0,0,0,0.386800,4000.000,7500.000,7500.000
2025-12-14T14:31:15Z,13,1000,10,1000,10,0,0,0,0,0,0,0,9,0,4059,9000,0,0,0,0.451000,4000.000,7500.000,7500.000
2025-12-14T14:31:16Z,14,1000,10,1000,10,0,0,0,0,0,0,0,9,0,3740,9000,0,0,0,0.415556,4000.000,7500.000,7500.000
2025-12-14T14:31:17Z,15,1000,10,1000,10,0,0,0,0,0,0,0,9,0,3863,9000,0,0,0,0.429222,4000.000,7500.000,7500.000
2025-12-14T14:31:18Z,16,1000,10,1000,10,0,0,0,0,0,0,0,9,0,3764,9000,0,0,0,0.418222,4000.000,7500.000,7500.000
2025-12-14T14:31:19Z,17,1000,10,1000,10,0,0,0,0,0,0,0,9,0,4218,9000,0,0,0,0.468667,4000.000,7500.000,7500.000
2025-12-14T14:31:20Z,18,1000,10,1000,10,0,0,0,0,0,0,0,9,0,4057,9000,0,0,0,0.450778,4000.000,7500.000,7500.000
2025-12-14T14:31:21Z,19,1000,10,1000,10,0,0,0,0,0,0,0,8,0,4040,8000,0,0,0,0.505000,4000.000,7500.000,7500.000
2025-12-14T14:31:22Z,20,1000,10,1000,10,0,0,0,0,0,0,0,8,0,3333,8000,0,0,0,0.416625,4000.000,7500.000,7500.000
2025-12-14T14:31:23Z,21,1000,10,1000,10,0,0,0,0,0,0,0,8,0,4000,8000,0,0,0,0.500000,4000.000,7500.000,7500.000
2025-12-14T14:31:24Z,22,1000,10,1000,10,0,0,0,0,0,0,0,8,0,4007,8000,0,0,0,0.500875,4000.000,7500.000,7500.000
2025-12-14T14:31:25Z,23,1000,10,1000,10,0,0,0,0,0,0,0,8,0,4053,8000,0,0,0,0.506625,4000.000,7500.000,7500.000
2025-12-14T14:31:26Z,24,1000,10,1000,10,0,0,0,0,0,0,0,8,0,3681,8000,0,0,0,0.460125,7500.000,7500.000,7500.000
2025-12-14T14:31:27Z,25,1000,10,1000,10,0,0,0,0,0,0,0,8,0,4056,8000,0,0,0,0.507000,7500.000,7500.000,7500.000
2025-12-14T14:31:28Z,26,1000,10,1000,10,0,0,0,0,0,0,0,8,0,4019,8000,0,0,0,0.502375,7500.000,7500.000,7500.000
2025-12-14T14:31:29Z,27,1000,10,1000,10,0,0,0,0,0,0,0,8,0,3686,8000,0,0,0,0.460750,7500.000,7500.000,7500.000
2025-12-14T14:31:30Z,28,1000,10,1000,10,0,0,0,0,0,0,0,8,0,3824,8000,0,0,0,0.478000,7500.000,7500.000,7500.000
2025-12-14T14:31:31Z,29,1000,10,1000,10,0,0,0,0,0,0,0,8,0,4372,8000,0,0,0,0.546500,7500.000,7500.000,7500.000
