Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,b'Device - 138',1,0,442,442.0,442,442,10265.0,0.001666800820366289,0.0,440,440,440,440,440,440,440,440,440,440,440
MQTT,b'Device - 139',4,0,140,218.0,126,463,10265.0,0.006667203281465156,0.0,140,140,460,460,460,460,460,460,460,460,460
MQTT,b'Device - 14',1,0,445,445.0,445,445,10264.0,0.001666800820366289,0.0,440,440,440,440,440,440,440,440,440,440,440
MQTT,b'Device - 140',3,0,1200,876.0,153,1314,10265.0,0.005000402461098867,0.0,1200,1200,1300,1300,1300,1300,1300,1300,1300,1300,1300
MQTT,b'Device - 141',10,0,140,296.0,88,1214,10265.0,0.01666800820366289,0.0,140,150,160,690,1200,1200,1200,1200,1200,1200,1200
MQTT,b'Device - 142',11,0,140,257.6363636363636,119,1493,10265.0,0.01833480902402918,0.0,140,140,140,140,140,1500,1500,1500,1500,1500,1500
MQTT,b'Device - 143',11,0,140,164.54545454545453,112,443,10265.0,0.01833480902402918,0.0,140,140,150,150,150,440,440,440,440,440,440
MQTT,b'Device - 144',21,0,140,156.76190476190476,122,491,10265.0,0.035002817227692065,0.0,140,140,150,150,150,160,490,490,490,490,490
MQTT,b'Device - 145',5,0,160,234.6,127,468,10265.0,0.008334004101831445,0.0,160,260,260,470,470,470,470,470,470,470,470
MQTT,b'Device - 146',1,0,440,440.0,440,440,10265.0,0.001666800820366289,0.0,440,440,440,440,440,440,440,440,440,440,440
MQTT,b'Device - 147',3,0,140,244.33333333333334,128,466,10265.0,0.005000402461098867,0.0,140,140,470,470,470,470,470,470,470,470,470
MQTT,b'Device - 148',2,0,140,294.0,137,451,10265.0,0.003333601640732578,0.0,450,450,450,450,450,450,450,450,450,450,450
MQTT,b'Device - 149',2,0,160,751.0,158,1344,10265.0,0.003333601640732578,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
MQTT,b'Device - 15',1,0,1557,1557.0,1557,1557,10264.0,0.001666800820366289,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
MQTT,b'Device - 150',11,0,140,461.0,126,3354,10265.0,0.01833480902402918,0.0,140,150,160,160,480,3400,3400,3400,3400,3400,3400
MQTT,b'Device - 151',1,0,1071,1071.0,1071,1071,10265.0,0.001666800820366289,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
MQTT,b'Device - 152',1,0,472,472.0,472,472,10265.0,0.001666800820366289,0.0,470,470,470,470,470,470,470,470,470,470,470
MQTT,b'Device - 153',3,0,1200,942.0,127,1454,10265.0,0.005000402461098867,0.0,1200,1200,1500,1500,1500,1500,1500,1500,1500,1500,1500
MQTT,b'Device - 154',1,0,1682,1682.0,1682,1682,10265.0,0.001666800820366289,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
MQTT,b'Device - 155',7,0,140,329.7142857142857,133,1314,10265.0,0.011667605742564023,0.0,140,150,300,300,1300,1300,1300,1300,1300,1300,1300
MQTT,b'Device - 156',3,0,150,578.3333333333334,150,1434,10265.0,0.005000402461098867,0.0,150,150,1400,1400,1400,1400,1400,1400,1400,1400,1400
MQTT,b'Device - 157',55,0,140,188.0909090909091,122,1720,10265.0,0.09167404512014589,0.0,140,140,150,150,160,170,1100,1700,1700,1700,1700
MQTT,b'Device - 158',1,0,864,864.0,864,864,10265.0,0.001666800820366289,0.0,860,860,860,860,860,860,860,860,860,860,860
MQTT,b'Device - 159',48,0,140,169.77083333333334,88,1135,10265.0,0.08000643937758187,0.0,140,150,150,150,170,300,1100,1100,1100,1100,1100
